Measure,Pre-2009,2009-2013,2014-2016,Post-2016,Measure2,Agency,MortgageType,Date
AVG. PRICE BOTTOM 5 TRADES,15.6,6,11.6,0,TOTAL,FHLMC,AGENCY CMO IO/PO,01/29/2019
2ND QUARTILE PRICE,16.3,9.7,14.3,0,TOTAL,FHLMC,AGENCY CMO IO/PO,01/29/2019
3RD QUARTILE PRICE,21.1,10.4,15.7,0,TOTAL,FHLMC,AGENCY CMO IO/PO,01/29/2019
4TH QUARTILE PRICE,91.3,14.1,19.5,0,TOTAL,FHLMC,AGENCY CMO IO/PO,01/29/2019
AVG. PRICE TOP 5 TRADES,75.4,62.8,17.6,0,TOTAL,FHLMC,AGENCY CMO IO/PO,01/29/2019
STANDARD DEVIATION,36.5,24.6,5.1,0,TOTAL,FHLMC,AGENCY CMO IO/PO,01/29/2019
VOLUME OF TRADES (000'S),2396.3,14125.1,37603.9,0,TOTAL,FHLMC,AGENCY CMO IO/PO,01/29/2019
VOLUME OF TRADES (000'S),1115.1,6856.2,*,0,CUSTOMER BUY,FHLMC,AGENCY CMO IO/PO,01/29/2019
VOLUME OF TRADES (000'S),642.3,5153.4,*,0,CUSTOMER SELL,FHLMC,AGENCY CMO IO/PO,01/29/2019
VOLUME OF TRADES (000'S),*,2115.5,*,0,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,01/29/2019
VOLUME OF TRADES (000'S),2396.3,6530.4,1402.2,0,<= $1MM,FHLMC,AGENCY CMO IO/PO,01/29/2019
VOLUME OF TRADES (000'S),0,*,*,0,<= $10MM,FHLMC,AGENCY CMO IO/PO,01/29/2019
VOLUME OF TRADES (000'S),0,0,0,0,<= $100MM,FHLMC,AGENCY CMO IO/PO,01/29/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FHLMC,AGENCY CMO IO/PO,01/29/2019
NUMBER OF TRADES,11,33,11,0,TOTAL,FHLMC,AGENCY CMO IO/PO,01/29/2019
NUMBER OF TRADES,5,18,*,0,CUSTOMER BUY,FHLMC,AGENCY CMO IO/PO,01/29/2019
NUMBER OF TRADES,5,9,*,0,CUSTOMER SELL,FHLMC,AGENCY CMO IO/PO,01/29/2019
NUMBER OF TRADES,*,6,*,0,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,01/29/2019
NUMBER OF TRADES,11,31,7,0,<= $1MM,FHLMC,AGENCY CMO IO/PO,01/29/2019
NUMBER OF TRADES,0,*,*,0,<= $10MM,FHLMC,AGENCY CMO IO/PO,01/29/2019
NUMBER OF TRADES,0,0,0,0,<= $100MM,FHLMC,AGENCY CMO IO/PO,01/29/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,FHLMC,AGENCY CMO IO/PO,01/29/2019
AVERAGE PRICE,10.3,8.9,14.4,31.6,TOTAL,GNMA,AGENCY CMO IO/PO,01/29/2019
WEIGHTED AVG. PRICE,10.6,13.9,15.7,12.6,TOTAL,GNMA,AGENCY CMO IO/PO,01/29/2019
AVG. PRICE BOTTOM 5 TRADES,10,1.5,7.4,31.6,TOTAL,GNMA,AGENCY CMO IO/PO,01/29/2019
2ND QUARTILE PRICE,10.4,6.1,11.8,*,TOTAL,GNMA,AGENCY CMO IO/PO,01/29/2019
3RD QUARTILE PRICE,10.4,9.9,16.1,*,TOTAL,GNMA,AGENCY CMO IO/PO,01/29/2019
4TH QUARTILE PRICE,11.2,12.5,21.7,*,TOTAL,GNMA,AGENCY CMO IO/PO,01/29/2019
AVG. PRICE TOP 5 TRADES,10.6,19.1,18.1,31.6,TOTAL,GNMA,AGENCY CMO IO/PO,01/29/2019
STANDARD DEVIATION,0.8,5.6,6.1,7,TOTAL,GNMA,AGENCY CMO IO/PO,01/29/2019
VOLUME OF TRADES (000'S),1264.6,45687.6,92149.1,117815.9,TOTAL,GNMA,AGENCY CMO IO/PO,01/29/2019
VOLUME OF TRADES (000'S),*,33171.5,10889.6,116815.9,CUSTOMER BUY,GNMA,AGENCY CMO IO/PO,01/29/2019
VOLUME OF TRADES (000'S),858.2,2057.7,78209.6,0,CUSTOMER SELL,GNMA,AGENCY CMO IO/PO,01/29/2019
VOLUME OF TRADES (000'S),*,10458.3,*,*,DEALER TO DEALER,GNMA,AGENCY CMO IO/PO,01/29/2019
VOLUME OF TRADES (000'S),1264.6,6728.9,2875.1,1839,<= $1MM,GNMA,AGENCY CMO IO/PO,01/29/2019
VOLUME OF TRADES (000'S),0,19463.3,20276.9,0,<= $10MM,GNMA,AGENCY CMO IO/PO,01/29/2019
VOLUME OF TRADES (000'S),0,*,*,*,<= $100MM,GNMA,AGENCY CMO IO/PO,01/29/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,GNMA,AGENCY CMO IO/PO,01/29/2019
NUMBER OF TRADES,13,37,22,18,TOTAL,GNMA,AGENCY CMO IO/PO,01/29/2019
NUMBER OF TRADES,*,13,11,17,CUSTOMER BUY,GNMA,AGENCY CMO IO/PO,01/29/2019
NUMBER OF TRADES,6,9,8,0,CUSTOMER SELL,GNMA,AGENCY CMO IO/PO,01/29/2019
NUMBER OF TRADES,*,15,*,*,DEALER TO DEALER,GNMA,AGENCY CMO IO/PO,01/29/2019
NUMBER OF TRADES,13,29,15,16,<= $1MM,GNMA,AGENCY CMO IO/PO,01/29/2019
NUMBER OF TRADES,0,7,5,0,<= $10MM,GNMA,AGENCY CMO IO/PO,01/29/2019
NUMBER OF TRADES,0,*,*,*,<= $100MM,GNMA,AGENCY CMO IO/PO,01/29/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,GNMA,AGENCY CMO IO/PO,01/29/2019
AVERAGE PRICE,101.4,95.2,91.4,95.9,TOTAL,FNMA,AGENCY CMO P&I,01/30/2019
WEIGHTED AVG. PRICE,105.4,99.7,99.2,99.9,TOTAL,FNMA,AGENCY CMO P&I,01/30/2019
AVG. PRICE BOTTOM 5 TRADES,93.6,78.8,79.8,65.1,TOTAL,FNMA,AGENCY CMO P&I,01/30/2019
2ND QUARTILE PRICE,98.2,93.6,83.3,100,TOTAL,FNMA,AGENCY CMO P&I,01/30/2019
3RD QUARTILE PRICE,101.2,98,96.1,101.3,TOTAL,FNMA,AGENCY CMO P&I,01/30/2019
4TH QUARTILE PRICE,104,99.4,99.3,101.3,TOTAL,FNMA,AGENCY CMO P&I,01/30/2019
AVG. PRICE TOP 5 TRADES,112.7,105.8,99.8,101.3,TOTAL,FNMA,AGENCY CMO P&I,01/30/2019
STANDARD DEVIATION,4.5,7.4,8.7,21.3,TOTAL,FNMA,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),3495.1,14615.6,18426.3,51239.3,TOTAL,FNMA,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),1409.5,4067.7,7475.3,23512.4,CUSTOMER BUY,FNMA,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),1828.6,9493.9,537.7,*,CUSTOMER SELL,FNMA,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),256.9,1054,10413.3,24904.8,DEALER TO DEALER,FNMA,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),3495.1,4419.4,1657.4,4085.7,<= $1MM,FNMA,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),0,*,16768.9,35155.4,<= $10MM,FNMA,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),0,0,0,*,<= $100MM,FNMA,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,114,62,25,43,TOTAL,FNMA,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,20,28,7,36,CUSTOMER BUY,FNMA,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,59,17,5,*,CUSTOMER SELL,FNMA,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,35,17,13,6,DEALER TO DEALER,FNMA,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,114,60,19,36,<= $1MM,FNMA,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,0,*,6,6,<= $10MM,FNMA,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,0,0,0,*,<= $100MM,FNMA,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,01/30/2019
AVERAGE PRICE,102.4,95.8,93.1,100.5,TOTAL,FHLMC,AGENCY CMO P&I,01/30/2019
WEIGHTED AVG. PRICE,102.7,98.9,100.2,101.1,TOTAL,FHLMC,AGENCY CMO P&I,01/30/2019
AVG. PRICE BOTTOM 5 TRADES,91.5,81.3,83.6,96.5,TOTAL,FHLMC,AGENCY CMO P&I,01/30/2019
2ND QUARTILE PRICE,99,91.5,87.8,99.5,TOTAL,FHLMC,AGENCY CMO P&I,01/30/2019
3RD QUARTILE PRICE,102.5,98.8,96.6,100.8,TOTAL,FHLMC,AGENCY CMO P&I,01/30/2019
4TH QUARTILE PRICE,105.3,100.4,99.8,102.7,TOTAL,FHLMC,AGENCY CMO P&I,01/30/2019
AVG. PRICE TOP 5 TRADES,114.2,105.8,100.5,103.2,TOTAL,FHLMC,AGENCY CMO P&I,01/30/2019
STANDARD DEVIATION,5.4,6.8,7.1,2.6,TOTAL,FHLMC,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),5581,11277.2,14211.5,224723.4,TOTAL,FHLMC,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),4371.8,7821.1,12139.3,135307,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),825,1597.8,*,0,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),384.2,1858.2,2014.7,89416.5,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),1835.2,7724.7,2166.7,1936.4,<= $1MM,FHLMC,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),*,*,*,16516.9,<= $10MM,FHLMC,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),0,0,*,206270.1,<= $100MM,FHLMC,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FHLMC,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,139,85,21,29,TOTAL,FHLMC,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,28,28,9,18,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,60,25,*,0,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,51,32,8,11,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,138,82,19,15,<= $1MM,FHLMC,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,*,*,*,5,<= $10MM,FHLMC,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,0,0,*,9,<= $100MM,FHLMC,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,FHLMC,AGENCY CMO P&I,01/30/2019
AVERAGE PRICE,102.8,90.8,92.6,98,TOTAL,GNMA,AGENCY CMO P&I,01/30/2019
WEIGHTED AVG. PRICE,104.8,98.7,99,99.6,TOTAL,GNMA,AGENCY CMO P&I,01/30/2019
AVG. PRICE BOTTOM 5 TRADES,89.7,74.3,85.5,87.4,TOTAL,GNMA,AGENCY CMO P&I,01/30/2019
2ND QUARTILE PRICE,99.6,84.3,88,95.3,TOTAL,GNMA,AGENCY CMO P&I,01/30/2019
3RD QUARTILE PRICE,102.3,90,96.9,100.7,TOTAL,GNMA,AGENCY CMO P&I,01/30/2019
4TH QUARTILE PRICE,106.8,99.9,98.9,101.8,TOTAL,GNMA,AGENCY CMO P&I,01/30/2019
AVG. PRICE TOP 5 TRADES,113,104.6,98.7,101.6,TOTAL,GNMA,AGENCY CMO P&I,01/30/2019
STANDARD DEVIATION,5.8,9.4,6.5,5.1,TOTAL,GNMA,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),1546.7,7048.4,25529.4,57460.2,TOTAL,GNMA,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),636.5,6195.2,3086.6,52873.4,CUSTOMER BUY,GNMA,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),427.6,343.5,*,855.4,CUSTOMER SELL,GNMA,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),482.6,509.7,344.2,3731.4,DEALER TO DEALER,GNMA,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),1546.7,1874.5,842,3858.4,<= $1MM,GNMA,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),0,*,*,*,<= $10MM,GNMA,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),0,0,*,*,<= $100MM,GNMA,AGENCY CMO P&I,01/30/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,GNMA,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,145,59,21,48,TOTAL,GNMA,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,40,15,10,16,CUSTOMER BUY,GNMA,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,54,15,*,24,CUSTOMER SELL,GNMA,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,51,29,8,8,DEALER TO DEALER,GNMA,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,145,58,19,45,<= $1MM,GNMA,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,0,*,*,*,<= $10MM,GNMA,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,0,0,*,*,<= $100MM,GNMA,AGENCY CMO P&I,01/30/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,GNMA,AGENCY CMO P&I,01/30/2019
AVERAGE PRICE,*,14.7,*,0,TOTAL,FNMA,AGENCY CMO IO/PO,01/30/2019
WEIGHTED AVG. PRICE,*,14.4,*,0,TOTAL,FNMA,AGENCY CMO IO/PO,01/30/2019
AVG. PRICE BOTTOM 5 TRADES,*,12.4,*,0,TOTAL,FNMA,AGENCY CMO IO/PO,01/30/2019
2ND QUARTILE PRICE,*,12.5,*,0,TOTAL,FNMA,AGENCY CMO IO/PO,01/30/2019
3RD QUARTILE PRICE,*,14.9,*,0,TOTAL,FNMA,AGENCY CMO IO/PO,01/30/2019
4TH QUARTILE PRICE,*,19.3,*,0,TOTAL,FNMA,AGENCY CMO IO/PO,01/30/2019
AVG. PRICE TOP 5 TRADES,*,18.4,*,0,TOTAL,FNMA,AGENCY CMO IO/PO,01/30/2019
STANDARD DEVIATION,*,3.2,*,0,TOTAL,FNMA,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),*,78598.9,*,0,TOTAL,FNMA,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),*,*,0,0,CUSTOMER BUY,FNMA,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),*,60009,*,0,CUSTOMER SELL,FNMA,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),0,6789,*,0,DEALER TO DEALER,FNMA,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),*,3472.5,0,0,<= $1MM,FNMA,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),*,*,*,0,<= $10MM,FNMA,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),0,*,*,0,<= $100MM,FNMA,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FNMA,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,*,18,*,0,TOTAL,FNMA,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,*,*,0,0,CUSTOMER BUY,FNMA,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,*,11,*,0,CUSTOMER SELL,FNMA,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,0,6,*,0,DEALER TO DEALER,FNMA,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,*,10,0,0,<= $1MM,FNMA,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,*,*,*,0,<= $10MM,FNMA,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,0,*,*,0,<= $100MM,FNMA,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO IO/PO,01/30/2019
AVERAGE PRICE,0,11.1,14.8,*,TOTAL,FHLMC,AGENCY CMO IO/PO,01/30/2019
WEIGHTED AVG. PRICE,0,13.1,13.5,*,TOTAL,FHLMC,AGENCY CMO IO/PO,01/30/2019
AVG. PRICE BOTTOM 5 TRADES,0,11.1,14.8,*,TOTAL,FHLMC,AGENCY CMO IO/PO,01/30/2019
2ND QUARTILE PRICE,0,*,*,*,TOTAL,FHLMC,AGENCY CMO IO/PO,01/30/2019
3RD QUARTILE PRICE,0,*,*,*,TOTAL,FHLMC,AGENCY CMO IO/PO,01/30/2019
4TH QUARTILE PRICE,0,*,*,*,TOTAL,FHLMC,AGENCY CMO IO/PO,01/30/2019
AVG. PRICE TOP 5 TRADES,0,11.1,14.8,*,TOTAL,FHLMC,AGENCY CMO IO/PO,01/30/2019
STANDARD DEVIATION,0,3.8,3.7,*,TOTAL,FHLMC,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),0,199049.4,83098.6,*,TOTAL,FHLMC,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),0,*,*,*,CUSTOMER BUY,FHLMC,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),0,100123.3,28013.9,*,CUSTOMER SELL,FHLMC,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),0,0,0,0,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),0,*,659.2,0,<= $1MM,FHLMC,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),0,0,*,0,<= $10MM,FHLMC,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),0,*,*,*,<= $100MM,FHLMC,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FHLMC,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,0,7,10,*,TOTAL,FHLMC,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,0,*,*,*,CUSTOMER BUY,FHLMC,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,0,5,7,*,CUSTOMER SELL,FHLMC,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,0,0,0,0,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,0,*,6,0,<= $1MM,FHLMC,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,0,0,*,0,<= $10MM,FHLMC,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,0,*,*,*,<= $100MM,FHLMC,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,FHLMC,AGENCY CMO IO/PO,01/30/2019
AVERAGE PRICE,13.5,12.7,13.1,11.6,TOTAL,GNMA,AGENCY CMO IO/PO,01/30/2019
WEIGHTED AVG. PRICE,13.2,9.7,12,13.5,TOTAL,GNMA,AGENCY CMO IO/PO,01/30/2019
AVG. PRICE BOTTOM 5 TRADES,11.1,12.7,10.7,11.6,TOTAL,GNMA,AGENCY CMO IO/PO,01/30/2019
2ND QUARTILE PRICE,11.9,*,11.6,*,TOTAL,GNMA,AGENCY CMO IO/PO,01/30/2019
3RD QUARTILE PRICE,13.5,*,12.3,*,TOTAL,GNMA,AGENCY CMO IO/PO,01/30/2019
4TH QUARTILE PRICE,14.3,*,17.9,*,TOTAL,GNMA,AGENCY CMO IO/PO,01/30/2019
AVG. PRICE TOP 5 TRADES,16.3,12.7,15.8,11.6,TOTAL,GNMA,AGENCY CMO IO/PO,01/30/2019
STANDARD DEVIATION,2.3,2.9,3.2,5.9,TOTAL,GNMA,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),18622.6,12122.8,154000.9,170085.3,TOTAL,GNMA,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),7889.7,*,*,*,CUSTOMER BUY,GNMA,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),7271.1,*,*,15068.5,CUSTOMER SELL,GNMA,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),3461.8,*,78455.5,*,DEALER TO DEALER,GNMA,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),1602.2,*,1108.1,668.5,<= $1MM,GNMA,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),17020.4,*,*,*,<= $10MM,GNMA,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),0,0,149068.1,*,<= $100MM,GNMA,AGENCY CMO IO/PO,01/30/2019
VOLUME OF TRADES (000'S),0,0,0,*,> $100MM,GNMA,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,23,6,12,12,TOTAL,GNMA,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,8,*,*,*,CUSTOMER BUY,GNMA,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,6,*,*,9,CUSTOMER SELL,GNMA,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,9,*,6,*,DEALER TO DEALER,GNMA,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,15,*,5,7,<= $1MM,GNMA,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,8,*,*,*,<= $10MM,GNMA,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,0,0,5,*,<= $100MM,GNMA,AGENCY CMO IO/PO,01/30/2019
NUMBER OF TRADES,0,0,0,*,> $100MM,GNMA,AGENCY CMO IO/PO,01/30/2019
AVERAGE PRICE,102.2,91.1,92.2,96.9,TOTAL,FNMA,AGENCY CMO P&I,01/31/2019
WEIGHTED AVG. PRICE,104.2,85.5,99.5,100.5,TOTAL,FNMA,AGENCY CMO P&I,01/31/2019
AVG. PRICE BOTTOM 5 TRADES,94.6,69.7,79.2,85.4,TOTAL,FNMA,AGENCY CMO P&I,01/31/2019
2ND QUARTILE PRICE,99.9,82,89.5,97,TOTAL,FNMA,AGENCY CMO P&I,01/31/2019
3RD QUARTILE PRICE,103,91.3,96,99.5,TOTAL,FNMA,AGENCY CMO P&I,01/31/2019
4TH QUARTILE PRICE,104.8,99.5,99.5,100,TOTAL,FNMA,AGENCY CMO P&I,01/31/2019
AVG. PRICE TOP 5 TRADES,110.5,110.3,100.4,101.3,TOTAL,FNMA,AGENCY CMO P&I,01/31/2019
STANDARD DEVIATION,4.3,10.8,8.4,6.6,TOTAL,FNMA,AGENCY CMO P&I,01/31/2019
VOLUME OF TRADES (000'S),2278.1,46186.9,27005.5,68062.8,TOTAL,FNMA,AGENCY CMO P&I,01/31/2019
VOLUME OF TRADES (000'S),619.2,4458.4,8798.8,55018.9,CUSTOMER BUY,FNMA,AGENCY CMO P&I,01/31/2019
VOLUME OF TRADES (000'S),1062.9,39161.7,1503.3,3966,CUSTOMER SELL,FNMA,AGENCY CMO P&I,01/31/2019
VOLUME OF TRADES (000'S),596,2566.8,16703.4,9077.9,DEALER TO DEALER,FNMA,AGENCY CMO P&I,01/31/2019
VOLUME OF TRADES (000'S),2278.1,7840.2,2124.7,3560.9,<= $1MM,FNMA,AGENCY CMO P&I,01/31/2019
VOLUME OF TRADES (000'S),0,15234.2,*,15199.8,<= $10MM,FNMA,AGENCY CMO P&I,01/31/2019
VOLUME OF TRADES (000'S),0,*,0,*,<= $100MM,FNMA,AGENCY CMO P&I,01/31/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,01/31/2019
NUMBER OF TRADES,85,100,29,47,TOTAL,FNMA,AGENCY CMO P&I,01/31/2019
NUMBER OF TRADES,25,27,11,30,CUSTOMER BUY,FNMA,AGENCY CMO P&I,01/31/2019
NUMBER OF TRADES,34,36,7,5,CUSTOMER SELL,FNMA,AGENCY CMO P&I,01/31/2019
NUMBER OF TRADES,26,37,11,12,DEALER TO DEALER,FNMA,AGENCY CMO P&I,01/31/2019
NUMBER OF TRADES,85,94,26,40,<= $1MM,FNMA,AGENCY CMO P&I,01/31/2019
NUMBER OF TRADES,0,5,*,5,<= $10MM,FNMA,AGENCY CMO P&I,01/31/2019
NUMBER OF TRADES,0,*,0,*,<= $100MM,FNMA,AGENCY CMO P&I,01/31/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,01/31/2019
AVERAGE PRICE,101.7,92.6,88.1,98.9,TOTAL,FHLMC,AGENCY CMO P&I,01/31/2019
WEIGHTED AVG. PRICE,105.8,97.4,100.9,102.5,TOTAL,FHLMC,AGENCY CMO P&I,01/31/2019
AVG. PRICE BOTTOM 5 TRADES,90.6,63.7,73.1,92.7,TOTAL,FHLMC,AGENCY CMO P&I,01/31/2019
2ND QUARTILE PRICE,99.9,88.8,85.6,97.7,TOTAL,FHLMC,AGENCY CMO P&I,01/31/2019
3RD QUARTILE PRICE,101.4,95,88.1,100,TOTAL,FHLMC,AGENCY CMO P&I,01/31/2019
4TH QUARTILE PRICE,104.7,99.6,97.3,101.6,TOTAL,FHLMC,AGENCY CMO P&I,01/31/2019
AVG. PRICE TOP 5 TRADES,116.1,108.4,100.6,103.1,TOTAL,FHLMC,AGENCY CMO P&I,01/31/2019
STANDARD DEVIATION,5.9,10,11.6,3.7,TOTAL,FHLMC,AGENCY CMO P&I,01/31/2019
VOLUME OF TRADES (000'S),2548.7,11813,8471.9,36582.1,TOTAL,FHLMC,AGENCY CMO P&I,01/31/2019
VOLUME OF TRADES (000'S),1511.6,4709.2,1514.4,24010.5,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,01/31/2019
VOLUME OF TRADES (000'S),505.9,4884,60.8,4856.5,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,01/31/2019
VOLUME OF TRADES (000'S),531.3,2219.7,6896.8,7715,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,01/31/2019
VOLUME OF TRADES (000'S),2548.7,9077.1,618.4,3849.2,<= $1MM,FHLMC,AGENCY CMO P&I,01/31/2019
VOLUME OF TRADES (000'S),0,*,*,32732.8,<= $10MM,FHLMC,AGENCY CMO P&I,01/31/2019
VOLUME OF TRADES (000'S),0,0,0,0,<= $100MM,FHLMC,AGENCY CMO P&I,01/31/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FHLMC,AGENCY CMO P&I,01/31/2019
NUMBER OF TRADES,97,132,21,32,TOTAL,FHLMC,AGENCY CMO P&I,01/31/2019
NUMBER OF TRADES,26,41,5,21,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,01/31/2019
NUMBER OF TRADES,38,36,6,5,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,01/31/2019
NUMBER OF TRADES,33,55,10,6,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,01/31/2019
NUMBER OF TRADES,97,131,18,25,<= $1MM,FHLMC,AGENCY CMO P&I,01/31/2019
NUMBER OF TRADES,0,*,*,7,<= $10MM,FHLMC,AGENCY CMO P&I,01/31/2019
