Measure,PRE-2009,2009-2013,2014-2016,POST-2016,Measure2,Agency,MortgageType,Date
VOLUME OF TRADES (000'S),*,9241.1,0,*,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,20190314
VOLUME OF TRADES (000'S),*,9279.6,0,*,<= $1MM,FHLMC,AGENCY CMO IO/PO,20190314
VOLUME OF TRADES (000'S),*,*,*,0,<= $10MM,FHLMC,AGENCY CMO IO/PO,20190314
VOLUME OF TRADES (000'S),0,*,0,*,<= $100MM,FHLMC,AGENCY CMO IO/PO,20190314
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FHLMC,AGENCY CMO IO/PO,20190314
NUMBER OF TRADES,*,23,*,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190314
NUMBER OF TRADES,0,11,*,*,CUSTOMER BUY,FHLMC,AGENCY CMO IO/PO,20190314
NUMBER OF TRADES,*,7,0,0,CUSTOMER SELL,FHLMC,AGENCY CMO IO/PO,20190314
NUMBER OF TRADES,*,5,0,*,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,20190314
NUMBER OF TRADES,*,18,0,*,<= $1MM,FHLMC,AGENCY CMO IO/PO,20190314
NUMBER OF TRADES,*,*,*,0,<= $10MM,FHLMC,AGENCY CMO IO/PO,20190314
NUMBER OF TRADES,0,*,0,*,<= $100MM,FHLMC,AGENCY CMO IO/PO,20190314
NUMBER OF TRADES,0,0,0,0,> $100MM,FHLMC,AGENCY CMO IO/PO,20190314
AVERAGE PRICE,31.2,*,16.6,10.4,TOTAL,GNMA,AGENCY CMO IO/PO,20190314
WEIGHTED AVG. PRICE,17.8,*,16.9,16.5,TOTAL,GNMA,AGENCY CMO IO/PO,20190314
AVG. PRICE BOTTOM 5 TRADES,13.7,*,16.6,4.2,TOTAL,GNMA,AGENCY CMO IO/PO,20190314
2ND QUARTILE PRICE,15.1,*,*,4.4,TOTAL,GNMA,AGENCY CMO IO/PO,20190314
3RD QUARTILE PRICE,17.5,*,*,15.8,TOTAL,GNMA,AGENCY CMO IO/PO,20190314
4TH QUARTILE PRICE,96.2,*,*,17.8,TOTAL,GNMA,AGENCY CMO IO/PO,20190314
AVG. PRICE TOP 5 TRADES,49.1,*,16.6,17.6,TOTAL,GNMA,AGENCY CMO IO/PO,20190314
STANDARD DEVIATION,34.9,*,1.3,6.5,TOTAL,GNMA,AGENCY CMO IO/PO,20190314
VOLUME OF TRADES (000'S),4514.8,*,127749,301779.3,TOTAL,GNMA,AGENCY CMO IO/PO,20190314
VOLUME OF TRADES (000'S),2118.8,*,*,*,CUSTOMER BUY,GNMA,AGENCY CMO IO/PO,20190314
VOLUME OF TRADES (000'S),*,*,*,*,CUSTOMER SELL,GNMA,AGENCY CMO IO/PO,20190314
VOLUME OF TRADES (000'S),*,0,0,45416.7,DEALER TO DEALER,GNMA,AGENCY CMO IO/PO,20190314
VOLUME OF TRADES (000'S),800.9,*,0,0,<= $1MM,GNMA,AGENCY CMO IO/PO,20190314
VOLUME OF TRADES (000'S),*,0,*,24488,<= $10MM,GNMA,AGENCY CMO IO/PO,20190314
VOLUME OF TRADES (000'S),0,0,*,*,<= $100MM,GNMA,AGENCY CMO IO/PO,20190314
VOLUME OF TRADES (000'S),0,0,0,*,> $100MM,GNMA,AGENCY CMO IO/PO,20190314
NUMBER OF TRADES,10,*,5,14,TOTAL,GNMA,AGENCY CMO IO/PO,20190314
NUMBER OF TRADES,5,*,*,*,CUSTOMER BUY,GNMA,AGENCY CMO IO/PO,20190314
NUMBER OF TRADES,*,*,*,*,CUSTOMER SELL,GNMA,AGENCY CMO IO/PO,20190314
NUMBER OF TRADES,*,0,0,7,DEALER TO DEALER,GNMA,AGENCY CMO IO/PO,20190314
NUMBER OF TRADES,8,*,0,0,<= $1MM,GNMA,AGENCY CMO IO/PO,20190314
NUMBER OF TRADES,*,0,*,9,<= $10MM,GNMA,AGENCY CMO IO/PO,20190314
NUMBER OF TRADES,0,0,*,*,<= $100MM,GNMA,AGENCY CMO IO/PO,20190314
NUMBER OF TRADES,0,0,0,*,> $100MM,GNMA,AGENCY CMO IO/PO,20190314
AVERAGE PRICE,102.4,97,93.1,100.3,TOTAL,FNMA,AGENCY CMO P&I,20190315
WEIGHTED AVG. PRICE,104.2,101.1,95.1,99.9,TOTAL,FNMA,AGENCY CMO P&I,20190315
AVG. PRICE BOTTOM 5 TRADES,95.3,86.7,87.6,97,TOTAL,FNMA,AGENCY CMO P&I,20190315
2ND QUARTILE PRICE,99.3,92.7,95.1,99,TOTAL,FNMA,AGENCY CMO P&I,20190315
3RD QUARTILE PRICE,102.7,98.1,96.3,99.8,TOTAL,FNMA,AGENCY CMO P&I,20190315
4TH QUARTILE PRICE,106,100,96.8,100.9,TOTAL,FNMA,AGENCY CMO P&I,20190315
AVG. PRICE TOP 5 TRADES,112.6,109.2,97.2,106.8,TOTAL,FNMA,AGENCY CMO P&I,20190315
STANDARD DEVIATION,5.2,5.5,6.7,3.5,TOTAL,FNMA,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),7953.2,63498.8,882.9,330550.8,TOTAL,FNMA,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),7381.8,24983.4,*,286435,CUSTOMER BUY,FNMA,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),552.6,15879.2,*,*,CUSTOMER SELL,FNMA,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),18.8,22636.2,*,41413.5,DEALER TO DEALER,FNMA,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),2721.5,2982.9,882.9,954.5,<= $1MM,FNMA,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),*,20025.7,0,43157.6,<= $10MM,FNMA,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),0,*,0,286438.7,<= $100MM,FNMA,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,20190315
NUMBER OF TRADES,57,83,12,36,TOTAL,FNMA,AGENCY CMO P&I,20190315
NUMBER OF TRADES,25,39,*,25,CUSTOMER BUY,FNMA,AGENCY CMO P&I,20190315
NUMBER OF TRADES,24,15,*,*,CUSTOMER SELL,FNMA,AGENCY CMO P&I,20190315
NUMBER OF TRADES,8,29,*,9,DEALER TO DEALER,FNMA,AGENCY CMO P&I,20190315
NUMBER OF TRADES,55,73,12,15,<= $1MM,FNMA,AGENCY CMO P&I,20190315
NUMBER OF TRADES,*,7,0,15,<= $10MM,FNMA,AGENCY CMO P&I,20190315
NUMBER OF TRADES,0,*,0,6,<= $100MM,FNMA,AGENCY CMO P&I,20190315
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,20190315
AVERAGE PRICE,102.4,96.9,96.2,100.9,TOTAL,FHLMC,AGENCY CMO P&I,20190315
WEIGHTED AVG. PRICE,101.7,103,99,102,TOTAL,FHLMC,AGENCY CMO P&I,20190315
AVG. PRICE BOTTOM 5 TRADES,94.6,85.4,95.1,95.2,TOTAL,FHLMC,AGENCY CMO P&I,20190315
2ND QUARTILE PRICE,100,92.8,96,100.5,TOTAL,FHLMC,AGENCY CMO P&I,20190315
3RD QUARTILE PRICE,102.3,98.8,98.2,101.9,TOTAL,FHLMC,AGENCY CMO P&I,20190315
4TH QUARTILE PRICE,106,100.5,98.7,103,TOTAL,FHLMC,AGENCY CMO P&I,20190315
AVG. PRICE TOP 5 TRADES,109,105.6,97.9,103.9,TOTAL,FHLMC,AGENCY CMO P&I,20190315
STANDARD DEVIATION,3.9,5.5,4.1,3.1,TOTAL,FHLMC,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),2200.6,213103.4,10219.9,155886.6,TOTAL,FHLMC,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),936.4,4838.3,*,54788.9,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),1115.4,207020.2,*,62206.3,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),148.8,1245,*,38891.4,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),2200.6,6138.3,642.6,8147.4,<= $1MM,FHLMC,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),0,*,*,47565.8,<= $10MM,FHLMC,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),0,*,0,100173.4,<= $100MM,FHLMC,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),0,*,0,0,> $100MM,FHLMC,AGENCY CMO P&I,20190315
NUMBER OF TRADES,97,65,8,29,TOTAL,FHLMC,AGENCY CMO P&I,20190315
NUMBER OF TRADES,29,23,*,12,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,20190315
NUMBER OF TRADES,41,21,*,7,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,20190315
NUMBER OF TRADES,27,21,*,10,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,20190315
NUMBER OF TRADES,97,62,5,15,<= $1MM,FHLMC,AGENCY CMO P&I,20190315
NUMBER OF TRADES,0,*,*,9,<= $10MM,FHLMC,AGENCY CMO P&I,20190315
NUMBER OF TRADES,0,*,0,5,<= $100MM,FHLMC,AGENCY CMO P&I,20190315
NUMBER OF TRADES,0,*,0,0,> $100MM,FHLMC,AGENCY CMO P&I,20190315
AVERAGE PRICE,104.4,95,89.3,98.2,TOTAL,GNMA,AGENCY CMO P&I,20190315
WEIGHTED AVG. PRICE,107.6,97.4,99.1,99.9,TOTAL,GNMA,AGENCY CMO P&I,20190315
AVG. PRICE BOTTOM 5 TRADES,96.9,76,81.9,91.7,TOTAL,GNMA,AGENCY CMO P&I,20190315
2ND QUARTILE PRICE,102,90.7,85.5,97,TOTAL,GNMA,AGENCY CMO P&I,20190315
3RD QUARTILE PRICE,105.3,98.3,89.2,99,TOTAL,GNMA,AGENCY CMO P&I,20190315
4TH QUARTILE PRICE,106.9,100.4,95.7,100,TOTAL,GNMA,AGENCY CMO P&I,20190315
AVG. PRICE TOP 5 TRADES,111.7,104.8,96.3,103.4,TOTAL,GNMA,AGENCY CMO P&I,20190315
STANDARD DEVIATION,4,8.7,7,3.1,TOTAL,GNMA,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),11228.7,3850.2,8749.5,463042.6,TOTAL,GNMA,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),5551.2,2851.1,43,81046.7,CUSTOMER BUY,GNMA,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),605.4,141.4,8550.1,328151.5,CUSTOMER SELL,GNMA,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),5072.2,857.6,156.4,53844.4,DEALER TO DEALER,GNMA,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),1792.3,2618,280.2,4950.2,<= $1MM,GNMA,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),*,*,*,34881.9,<= $10MM,GNMA,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),0,0,0,*,<= $100MM,GNMA,AGENCY CMO P&I,20190315
VOLUME OF TRADES (000'S),0,0,0,*,> $100MM,GNMA,AGENCY CMO P&I,20190315
NUMBER OF TRADES,85,62,20,67,TOTAL,GNMA,AGENCY CMO P&I,20190315
NUMBER OF TRADES,16,31,6,33,CUSTOMER BUY,GNMA,AGENCY CMO P&I,20190315
NUMBER OF TRADES,37,8,7,13,CUSTOMER SELL,GNMA,AGENCY CMO P&I,20190315
NUMBER OF TRADES,32,23,7,21,DEALER TO DEALER,GNMA,AGENCY CMO P&I,20190315
NUMBER OF TRADES,83,61,19,54,<= $1MM,GNMA,AGENCY CMO P&I,20190315
NUMBER OF TRADES,*,*,*,7,<= $10MM,GNMA,AGENCY CMO P&I,20190315
NUMBER OF TRADES,0,0,0,*,<= $100MM,GNMA,AGENCY CMO P&I,20190315
NUMBER OF TRADES,0,0,0,*,> $100MM,GNMA,AGENCY CMO P&I,20190315
AVERAGE PRICE,49.6,31.1,6.1,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190315
WEIGHTED AVG. PRICE,18.1,15.6,12.4,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190315
AVG. PRICE BOTTOM 5 TRADES,12.2,12.6,6.1,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190315
2ND QUARTILE PRICE,14,9.5,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190315
3RD QUARTILE PRICE,82,18.2,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190315
4TH QUARTILE PRICE,83.8,78.1,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190315
AVG. PRICE TOP 5 TRADES,85.4,40.2,6.1,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190315
STANDARD DEVIATION,35.2,32,6.5,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),4889.8,26011.6,48127.6,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),2117.4,*,*,0,CUSTOMER BUY,FNMA,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),2568.3,*,*,*,CUSTOMER SELL,FNMA,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),204.1,*,*,0,DEALER TO DEALER,FNMA,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),1503.4,*,*,0,<= $1MM,FNMA,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),*,*,*,*,<= $10MM,FNMA,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),0,0,*,*,<= $100MM,FNMA,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FNMA,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,28,7,5,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,8,*,*,0,CUSTOMER BUY,FNMA,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,15,*,*,*,CUSTOMER SELL,FNMA,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,5,*,*,0,DEALER TO DEALER,FNMA,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,26,*,*,0,<= $1MM,FNMA,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,*,*,*,*,<= $10MM,FNMA,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,0,0,*,*,<= $100MM,FNMA,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO IO/PO,20190315
AVERAGE PRICE,*,15,0,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190315
WEIGHTED AVG. PRICE,*,15.1,0,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190315
AVG. PRICE BOTTOM 5 TRADES,*,5.6,0,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190315
2ND QUARTILE PRICE,*,6.6,0,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190315
3RD QUARTILE PRICE,*,7.4,0,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190315
4TH QUARTILE PRICE,*,17.9,0,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190315
AVG. PRICE TOP 5 TRADES,*,22.1,0,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190315
STANDARD DEVIATION,*,22,0,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),*,68568.6,0,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),0,*,0,0,CUSTOMER BUY,FHLMC,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),*,*,0,*,CUSTOMER SELL,FHLMC,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),*,*,0,*,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),*,914.4,0,*,<= $1MM,FHLMC,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),0,*,0,0,<= $10MM,FHLMC,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),0,*,0,*,<= $100MM,FHLMC,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FHLMC,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,*,10,0,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,0,*,0,0,CUSTOMER BUY,FHLMC,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,*,*,0,*,CUSTOMER SELL,FHLMC,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,*,*,0,*,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,*,6,0,*,<= $1MM,FHLMC,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,0,*,0,0,<= $10MM,FHLMC,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,0,*,0,*,<= $100MM,FHLMC,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,0,0,0,0,> $100MM,FHLMC,AGENCY CMO IO/PO,20190315
AVERAGE PRICE,62.4,9.6,*,*,TOTAL,GNMA,AGENCY CMO IO/PO,20190315
WEIGHTED AVG. PRICE,75.8,9.3,*,*,TOTAL,GNMA,AGENCY CMO IO/PO,20190315
AVG. PRICE BOTTOM 5 TRADES,13,6.2,*,*,TOTAL,GNMA,AGENCY CMO IO/PO,20190315
2ND QUARTILE PRICE,17.1,10,*,*,TOTAL,GNMA,AGENCY CMO IO/PO,20190315
3RD QUARTILE PRICE,88.9,11.9,*,*,TOTAL,GNMA,AGENCY CMO IO/PO,20190315
4TH QUARTILE PRICE,93.5,12.2,*,*,TOTAL,GNMA,AGENCY CMO IO/PO,20190315
AVG. PRICE TOP 5 TRADES,93.3,12.2,*,*,TOTAL,GNMA,AGENCY CMO IO/PO,20190315
STANDARD DEVIATION,37.9,3.8,*,*,TOTAL,GNMA,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),1707.6,18544.7,*,*,TOTAL,GNMA,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),670.7,*,*,*,CUSTOMER BUY,GNMA,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),820.9,*,0,*,CUSTOMER SELL,GNMA,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),216,1535.6,*,0,DEALER TO DEALER,GNMA,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),1707.6,2474.9,0,0,<= $1MM,GNMA,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),0,*,*,0,<= $10MM,GNMA,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),0,0,0,*,<= $100MM,GNMA,AGENCY CMO IO/PO,20190315
VOLUME OF TRADES (000'S),0,0,0,*,> $100MM,GNMA,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,22,14,*,*,TOTAL,GNMA,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,5,*,*,*,CUSTOMER BUY,GNMA,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,10,*,0,*,CUSTOMER SELL,GNMA,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,7,6,*,0,DEALER TO DEALER,GNMA,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,22,12,0,0,<= $1MM,GNMA,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,0,*,*,0,<= $10MM,GNMA,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,0,0,0,*,<= $100MM,GNMA,AGENCY CMO IO/PO,20190315
NUMBER OF TRADES,0,0,0,*,> $100MM,GNMA,AGENCY CMO IO/PO,20190315
AVERAGE PRICE,103.1,96.1,91.7,97.2,TOTAL,FNMA,AGENCY CMO P&I,20190318
WEIGHTED AVG. PRICE,110.3,100.1,98.6,100.6,TOTAL,FNMA,AGENCY CMO P&I,20190318
AVG. PRICE BOTTOM 5 TRADES,95.4,81.3,81.9,90,TOTAL,FNMA,AGENCY CMO P&I,20190318
2ND QUARTILE PRICE,99.9,91.9,84.1,93.2,TOTAL,FNMA,AGENCY CMO P&I,20190318
3RD QUARTILE PRICE,102,97.3,96.3,98.9,TOTAL,FNMA,AGENCY CMO P&I,20190318
4TH QUARTILE PRICE,106.4,100.5,99.2,100.3,TOTAL,FNMA,AGENCY CMO P&I,20190318
AVG. PRICE TOP 5 TRADES,115.3,110.8,99.7,102.5,TOTAL,FNMA,AGENCY CMO P&I,20190318
STANDARD DEVIATION,5.1,7.2,7.7,4.5,TOTAL,FNMA,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),4245.4,28859,24431.1,82735.9,TOTAL,FNMA,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),503.6,14325.2,*,49126.9,CUSTOMER BUY,FNMA,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),3017.7,10290.8,9013.3,3132.8,CUSTOMER SELL,FNMA,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),724,4243,5347.5,30476.2,DEALER TO DEALER,FNMA,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),3186.2,5868,3043.4,7532,<= $1MM,FNMA,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),*,22991,*,30361.3,<= $10MM,FNMA,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),0,0,0,*,<= $100MM,FNMA,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,20190318
NUMBER OF TRADES,100,139,27,58,TOTAL,FNMA,AGENCY CMO P&I,20190318
NUMBER OF TRADES,22,30,*,18,CUSTOMER BUY,FNMA,AGENCY CMO P&I,20190318
NUMBER OF TRADES,49,62,11,20,CUSTOMER SELL,FNMA,AGENCY CMO P&I,20190318
NUMBER OF TRADES,29,47,12,20,DEALER TO DEALER,FNMA,AGENCY CMO P&I,20190318
NUMBER OF TRADES,99,132,23,47,<= $1MM,FNMA,AGENCY CMO P&I,20190318
NUMBER OF TRADES,*,7,*,8,<= $10MM,FNMA,AGENCY CMO P&I,20190318
NUMBER OF TRADES,0,0,0,*,<= $100MM,FNMA,AGENCY CMO P&I,20190318
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,20190318
AVERAGE PRICE,100.6,95.7,98.8,99.8,TOTAL,FHLMC,AGENCY CMO P&I,20190318
WEIGHTED AVG. PRICE,104,97.1,101.3,101.2,TOTAL,FHLMC,AGENCY CMO P&I,20190318
AVG. PRICE BOTTOM 5 TRADES,69,78.9,90.6,93.6,TOTAL,FHLMC,AGENCY CMO P&I,20190318
2ND QUARTILE PRICE,98.3,93.6,97.8,98,TOTAL,FHLMC,AGENCY CMO P&I,20190318
3RD QUARTILE PRICE,100.2,97.2,101.1,101.3,TOTAL,FHLMC,AGENCY CMO P&I,20190318
4TH QUARTILE PRICE,106,99.9,102.4,103.1,TOTAL,FHLMC,AGENCY CMO P&I,20190318
AVG. PRICE TOP 5 TRADES,128.3,105,102.5,104.1,TOTAL,FHLMC,AGENCY CMO P&I,20190318
STANDARD DEVIATION,14.9,6,4.4,4,TOTAL,FHLMC,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),9632.7,181923.5,62311.5,232598.3,TOTAL,FHLMC,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),643.5,86184.4,13932.8,178021.3,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),7847.1,92068.9,28164.6,50291.2,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),1142.2,3670.2,20214.1,4285.8,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),4421,10138,3409.2,6273.2,<= $1MM,FHLMC,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),*,22141.5,46233.3,30093.5,<= $10MM,FHLMC,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),0,*,*,196231.5,<= $100MM,FHLMC,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FHLMC,AGENCY CMO P&I,20190318
NUMBER OF TRADES,145,145,34,31,TOTAL,FHLMC,AGENCY CMO P&I,20190318
NUMBER OF TRADES,32,35,13,20,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,20190318
NUMBER OF TRADES,61,63,8,5,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,20190318
NUMBER OF TRADES,52,47,13,6,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,20190318
NUMBER OF TRADES,144,135,21,17,<= $1MM,FHLMC,AGENCY CMO P&I,20190318
NUMBER OF TRADES,*,6,12,9,<= $10MM,FHLMC,AGENCY CMO P&I,20190318
NUMBER OF TRADES,0,*,*,5,<= $100MM,FHLMC,AGENCY CMO P&I,20190318
NUMBER OF TRADES,0,0,0,0,> $100MM,FHLMC,AGENCY CMO P&I,20190318
AVERAGE PRICE,105,94.4,91.5,97.9,TOTAL,GNMA,AGENCY CMO P&I,20190318
WEIGHTED AVG. PRICE,106.2,100,97.1,100.2,TOTAL,GNMA,AGENCY CMO P&I,20190318
AVG. PRICE BOTTOM 5 TRADES,98.2,77.5,86.3,88.6,TOTAL,GNMA,AGENCY CMO P&I,20190318
2ND QUARTILE PRICE,101.9,90.6,85,97.7,TOTAL,GNMA,AGENCY CMO P&I,20190318
3RD QUARTILE PRICE,105.7,94.5,94.8,99,TOTAL,GNMA,AGENCY CMO P&I,20190318
4TH QUARTILE PRICE,108,99.7,95,99.9,TOTAL,GNMA,AGENCY CMO P&I,20190318
AVG. PRICE TOP 5 TRADES,111.1,106.2,95.8,105.3,TOTAL,GNMA,AGENCY CMO P&I,20190318
STANDARD DEVIATION,3.8,7.3,5.4,4.2,TOTAL,GNMA,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),3957.8,9330.3,3969.1,598688.5,TOTAL,GNMA,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),931.3,4030.7,88.8,136381.8,CUSTOMER BUY,GNMA,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),2304.9,4649.3,3854.4,446736.4,CUSTOMER SELL,GNMA,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),721.6,650.3,*,15570.3,DEALER TO DEALER,GNMA,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),3957.8,1626.6,140.5,2935.2,<= $1MM,GNMA,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),0,*,*,48753.5,<= $10MM,GNMA,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),0,0,0,424397.4,<= $100MM,GNMA,AGENCY CMO P&I,20190318
VOLUME OF TRADES (000'S),0,0,0,*,> $100MM,GNMA,AGENCY CMO P&I,20190318
NUMBER OF TRADES,99,92,16,80,TOTAL,GNMA,AGENCY CMO P&I,20190318
NUMBER OF TRADES,28,18,7,39,CUSTOMER BUY,GNMA,AGENCY CMO P&I,20190318
NUMBER OF TRADES,36,33,6,25,CUSTOMER SELL,GNMA,AGENCY CMO P&I,20190318
NUMBER OF TRADES,35,41,*,16,DEALER TO DEALER,GNMA,AGENCY CMO P&I,20190318
NUMBER OF TRADES,99,90,15,58,<= $1MM,GNMA,AGENCY CMO P&I,20190318
NUMBER OF TRADES,0,*,*,13,<= $10MM,GNMA,AGENCY CMO P&I,20190318
